Row,Topic,Has Stem,Stem Length,Has Choices,Choice Count,Has Explanation,Difficulty
1,Narcolepsy,Yes,800,Yes,5,Yes,MEDIUM
2,Graves disease,Yes,1449,Yes,5,Yes,MEDIUM
3,Mesolimbic Pathway overactivity causing positive symptoms of schizophrenia,Yes,799,Yes,5,Yes,MEDIUM
4,Renal tubular defects,Yes,780,Yes,4,Yes,MEDIUM
5, pill-induced esophagitis caused by bisphosphonates,Yes,744,Yes,5,Yes,MEDIUM
6,Malignant hyperthermia,Yes,946,Yes,5,Yes,MEDIUM
7, Corticosteroid-induced myopathy,Yes,826,Yes,5,Yes,MEDIUM
8,Etanercept induced TB reactivation,Yes,815,Yes,5,Yes,MEDIUM
9,22q11 chromosome defect. -Digeorge syndrome,Yes,2123,Yes,5,Yes,MEDIUM
10,Cystic fibrosis ,Yes,1679,Yes,5,Yes,HARD
11,Muscular dystrophy ,Yes,1142,Yes,5,Yes,MEDIUM
12,Freidrichs ataxia,Yes,1910,Yes,5,Yes,HARD
13,POTTERS sequence ,Yes,1107,Yes,5,Yes,MEDIUM
14,Aortic Stenosis (Pressure Overload Hemodynamics),Yes,845,Yes,5,Yes,MEDIUM
15,Side effect of azithromycin,Yes,743,Yes,5,Yes,MEDIUM
16,Side effect of medication (Theophylline),Yes,681,Yes,5,Yes,MEDIUM
17,Medication Side effect (Pirfenidone),Yes,788,Yes,5,Yes,MEDIUM
18,Lateral hypothalamic nucleus lesion,Yes,660,Yes,5,Yes,MEDIUM
19,Mycobacterium virulence factors,Yes,677,Yes,5,Yes,MEDIUM
20,Histoplasma capsulatum,Yes,889,Yes,5,Yes,MEDIUM
21,Normal Age-Related Cardiovascular Changes (Isolated Systolic Hypertension),Yes,1256,Yes,5,Yes,MEDIUM
22,Nephrolithiasis ,Yes,920,Yes,5,Yes,MEDIUM
23,E.coli Virulence factor ,Yes,925,Yes,5,Yes,MEDIUM
24,Achalasia,Yes,620,Yes,5,Yes,MEDIUM
25,Diabetic Ketoacidosis ,Yes,817,Yes,5,Yes,MEDIUM
26,Diuretic Induced Hypokalemia,Yes,829,Yes,5,Yes,MEDIUM
27,Cause of Anemia in CKD,Yes,884,Yes,5,Yes,MEDIUM
28,Acute Tubular Necrosis,Yes,868,Yes,5,Yes,MEDIUM
29,Distal Renal Tubular Acidosis,Yes,802,Yes,5,Yes,MEDIUM
30,Thiazide induced hyponatremia ,Yes,882,Yes,5,Yes,MEDIUM
31,aspirin toxicity ,Yes,839,Yes,5,Yes,MEDIUM
32,GERD,Yes,497,Yes,5,Yes,MEDIUM
33,Renal Cell Carcinoma ,Yes,862,Yes,5,Yes,MEDIUM
34,Minimal Change Disease,Yes,941,Yes,5,Yes,MEDIUM
35,Post streptococcal glomerulonephritis ,Yes,838,Yes,5,Yes,MEDIUM
36,Autosomal dominant polycystic disease,Yes,751,Yes,5,Yes,MEDIUM
37,Renal Artery Stenosis ,Yes,932,Yes,5,Yes,MEDIUM
38,Diabetes Insipidus,Yes,757,Yes,5,Yes,MEDIUM
39,Amyloidosis,Yes,1042,Yes,5,Yes,MEDIUM
40,Vesicoureteral reflux,Yes,626,Yes,5,Yes,MEDIUM
41,Hypertensive Nephropathy,Yes,809,Yes,5,Yes,MEDIUM
42,Extraperitoneal bladder Rupture ,Yes,619,Yes,5,Yes,MEDIUM
43,von Willebrand disease,Yes,421,Yes,5,Yes,MEDIUM
44,rotator cuff muscles group,Yes,1040,Yes,5,Yes,MEDIUM
45,Serratus anterior muscle injury,Yes,797,Yes,5,Yes,MEDIUM
46,Toxic adenoma,Yes,1623,Yes,6,Yes,MEDIUM
47,Effects of ACE inhibitor,Yes,1252,Yes,5,Yes,MEDIUM
48,Effects of loop diuretics,Yes,1172,Yes,5,Yes,MEDIUM
49,Adverse effects of ACE inhibitors ,Yes,928,Yes,5,Yes,MEDIUM
50,Bacterial Meningitis,Yes,788,Yes,5,Yes,MEDIUM
51,hemophilia A,Yes,459,Yes,5,Yes,MEDIUM
52,vitamin K deficiency,Yes,444,Yes,5,Yes,MEDIUM
53,Anemia of chronic disease,Yes,423,Yes,5,Yes,MEDIUM
54,Vitamin B12 deficiency,Yes,380,Yes,5,Yes,MEDIUM
55,Warm autoimmune hemolytic anemia,Yes,498,Yes,5,Yes,MEDIUM
56,Sickle cell disease,Yes,787,Yes,5,Yes,MEDIUM
57,Glanzmann thrombasthenia,Yes,642,Yes,5,Yes,MEDIUM
58,Parkinson disease,Yes,658,Yes,5,Yes,MEDIUM
59,Berry aneurysm,Yes,749,Yes,5,Yes,MEDIUM
60,Peptic Ulcer disease ,Yes,760,Yes,5,Yes,HARD
61,B) Cytomegalovirus (CMV) esophagitis,Yes,509,Yes,5,Yes,MEDIUM
62,median nerve injury,Yes,772,Yes,5,Yes,MEDIUM
63,Cerebral Venous Sinus Thrombosis,Yes,1085,Yes,5,Yes,MEDIUM
64,Posterior Cerebral Artery Stroke,Yes,742,Yes,5,Yes,MEDIUM
65,ulnar nerve injury,Yes,755,Yes,5,Yes,MEDIUM
66,Cerebrovascular accident (CVA)/ Stroke,Yes,1039,Yes,5,Yes,MEDIUM
67,Multiple Sclerosis,Yes,1081,Yes,5,Yes,MEDIUM
68,Pulmonary Tuberculosis,Yes,795,Yes,5,Yes,MEDIUM
69,Pulmonary Tuberculosis- antitubercular drugs,Yes,649,Yes,5,Yes,MEDIUM
70,Myasthenia gravis,Yes,1414,Yes,5,Yes,MEDIUM
71,Glioblastoma Multiforme,Yes,1119,Yes,5,Yes,MEDIUM
72,Marfan syndrome ,Yes,992,Yes,5,Yes,MEDIUM
73,Salicylate toxicity ,Yes,857,Yes,5,Yes,MEDIUM
74,Methanol toxicity affects the eye,Yes,981,Yes,5,Yes,MEDIUM
75,Digoxin MOA,Yes,1018,Yes,5,Yes,MEDIUM
76,scaphoid fracture,Yes,714,Yes,5,Yes,MEDIUM
77,DKA,Yes,1090,Yes,5,Yes,MEDIUM
78,Conns syndrome ,Yes,1116,Yes,5,Yes,MEDIUM
79,MOA of ADH ,Yes,1032,Yes,5,Yes,MEDIUM
80,Subarachnoid Hemorrhage (ruptured saccular / berry aneurysm),Yes,1390,Yes,5,Yes,MEDIUM
81,Mixed Acid base disorder ,Yes,1503,Yes,5,Yes,MEDIUM
82,Meralgia paresthetica,Yes,537,Yes,5,Yes,MEDIUM
83,Guillain-Barré Syndrome,Yes,1045,Yes,5,Yes,MEDIUM
84,Idiopathic Parkinson Disease,Yes,1171,Yes,5,Yes,MEDIUM
85,Hypertrophic Obstructive Cardiomyopathy (HOCM),Yes,1159,Yes,5,Yes,MEDIUM
86,Hyper-IgM syndrome,Yes,685,Yes,5,Yes,MEDIUM
87,MHC class II deficiency,Yes,618,Yes,5,Yes,MEDIUM
88,C3 deficiency,Yes,787,Yes,5,Yes,MEDIUM
89,Anaphylaxis,Yes,517,Yes,5,Yes,MEDIUM
90,Down Syndrome,Yes,669,Yes,5,Yes,MEDIUM
91,Alzheimer Disease,Yes,1240,Yes,5,Yes,MEDIUM
92,Herpes Simplex Virus Type 1 (HSV-1) Encephalitis,Yes,1172,Yes,5,Yes,MEDIUM
93,Common peroneal nerve,Yes,747,Yes,5,Yes,MEDIUM
94,Warfarin anticoagulation,Yes,669,Yes,5,Yes,MEDIUM
95,Aspirin antiplatelet effect,Yes,734,Yes,5,Yes,MEDIUM
96,Methotrexate antimetabolite effect,Yes,740,Yes,5,Yes,MEDIUM
97,Tacrolimus immunosuppression,Yes,639,Yes,5,Yes,MEDIUM
98,Huntington Disease,Yes,1210,Yes,5,Yes,MEDIUM
99,Wernicke Encephalopathy,Yes,905,Yes,5,Yes,MEDIUM
100,Amyotrophic Lateral Sclerosis (ALS),Yes,1224,Yes,5,Yes,MEDIUM
